"ele","time","lat","lon","min"
318,"2015-07-23T05:45:39Z",48.7626616,13.0581083,345
348,"2015-07-23T06:03:58Z",48.91781,12.7432566,363
361,"2015-07-23T06:50:48Z",48.994115,12.1231733,410
439,"2015-07-23T06:58:39Z",49.02596,11.95547,418
533,"2015-07-23T07:09:07Z",49.17182,11.794685,429
453,"2015-07-23T07:22:17Z",49.31482,11.499285,442
355,"2015-07-23T07:33:11Z",49.4324616,11.2717616,453
301,"2015-07-23T07:49:03Z",49.587165,10.9267116,469
306,"2015-07-23T08:36:21Z",49.7723316,10.0755633,516
331,"2015-07-23T08:46:49Z",49.9127583,9.997705,526
362,"2015-07-23T09:02:31Z",50.0775649,10.0107091,542
377,"2015-07-23T09:19:25Z",50.209655,9.9268866,559
455,"2015-07-23T09:32:30Z",50.391335,9.73295,572
362,"2015-07-23T09:50:49Z",50.53782,9.7307066,590
365,"2015-07-23T10:01:18Z",50.6715916,9.677745,601
409,"2015-07-23T10:22:52Z",50.875085,9.60029,622
314,"2015-07-23T10:33:20Z",51.0041066,9.4813283,633
184,"2015-07-23T10:54:16Z",51.29716,9.5626333,654
185,"2015-07-23T11:31:46Z",51.7623083,10.0173116,691
198,"2015-07-23T11:39:37Z",51.85568,10.1247216,699
144,"2015-07-23T11:52:42Z",52.0194983,10.1680533,712
89,"2015-07-23T12:06:17Z",52.1992066,9.94259,726
63,"2015-07-23T12:16:45Z",52.396695,9.89991,736
44,"2015-07-23T12:29:50Z",52.6111216,9.7374766,749
28,"2015-07-23T12:40:20Z",52.6744908,9.6880641,760
74,"2015-07-23T12:53:27Z",52.8601566,9.71722,773
86,"2015-07-23T13:03:55Z",52.9843833,9.9283683,783
66,"2015-07-23T13:14:23Z",53.1609266,10.0633116,794
22,"2015-07-23T13:24:51Z",53.351515,10.038045,804
39,"2015-07-23T13:43:09Z",53.5734316,9.904715,823
34,"2015-07-23T14:41:36Z",54.1123583,9.9460616,881
28,"2015-07-23T15:41:57Z",54.895925,9.4298683,941
70,"2015-07-23T16:44:06Z",54.9007233,9.79743,1004
70,"2015-07-23T17:43:56Z",54.9007233,9.79743,1063
15,"2015-07-23T18:43:56Z",54.9008366,9.7969366,1123
15,"2015-07-23T19:43:56Z",54.9008366,9.7969366,1183
15,"2015-07-23T20:43:56Z",54.9008366,9.7969366,1243
15,"2015-07-23T21:43:56Z",54.9008366,9.7969366,1303
15,"2015-07-23T22:43:56Z",54.9008366,9.7969366,1363
15,"2015-07-23T23:43:56Z",54.9008366,9.7969366,1423
15,"2015-07-24T00:43:56Z",54.9008366,9.7969366,43
15,"2015-07-24T01:43:56Z",54.9008366,9.7969366,103
15,"2015-07-24T02:43:56Z",54.9008366,9.7969366,163
15,"2015-07-24T03:43:56Z",54.9008366,9.7969366,223
15,"2015-07-24T04:43:56Z",54.9008366,9.7969366,283
16,"2015-07-24T05:43:56Z",54.9080933,9.7936683,343
79,"2015-07-24T05:57:37Z",54.9553266,9.6283816,357
3,"2015-07-24T06:16:52Z",55.0395433,9.4217,376
47,"2015-07-24T06:28:20Z",55.0354137,9.4166708,388
40,"2015-07-24T06:39:56Z",55.1241166,9.3745083,399
5,"2015-07-24T06:48:03Z",55.2683783,9.4208466,408
62,"2015-07-24T06:58:43Z",55.4658166,9.4387983,418
82,"2015-07-24T07:28:22Z",55.398655,10.168045,448
20,"2015-07-24T07:36:17Z",55.3524216,10.3805016,456
1,"2015-07-24T08:38:32Z",55.447765,11.67904,518
-24,"2015-07-24T08:55:53Z",55.5087166,12.178385,535
2,"2015-07-24T09:03:44Z",55.5907333,12.2724933,543
-26,"2015-07-24T09:19:40Z",55.631695,12.6528283,559
51,"2015-07-24T09:34:27Z",55.54598,12.9786416,574
0,"2015-07-24T12:38:07Z",55.60862,12.99974,758
-278,"2015-07-24T12:38:16Z",55.6075583,12.9978366,758
-26,"2015-07-24T12:58:43Z",55.6019783,12.968275,778
0,"2015-07-24T13:06:34Z",55.6019927,12.9682449,786
-30,"2015-07-24T13:19:39Z",55.5788316,13.0050583,799
1,"2015-07-24T13:30:09Z",55.4264483,13.0520733,810
61,"2015-07-24T13:40:37Z",55.3754883,13.1222383,820
35,"2015-07-24T14:41:31Z",55.3865383,13.569325,881
7,"2015-07-24T14:54:50Z",55.4316533,13.7748016,894
-21,"2015-07-24T15:08:13Z",55.4279783,13.8239216,908
65,"2015-07-24T15:35:37Z",55.4360316,13.907905,935
17,"2015-07-24T15:43:40Z",55.4341866,13.9305322,943
-23,"2015-07-24T16:45:24Z",55.43447,13.9275233,1005
-288,"2015-07-24T17:45:24Z",55.4344933,13.9275166,1065
-288,"2015-07-24T18:45:24Z",55.4344933,13.9275166,1125
-232,"2015-07-24T19:45:24Z",55.4348933,13.9266133,1185
-232,"2015-07-24T20:45:24Z",55.4348933,13.9266133,1245
-232,"2015-07-24T21:45:24Z",55.4348933,13.9266133,1305
-232,"2015-07-24T22:45:24Z",55.4348933,13.9266133,1365
-232,"2015-07-24T23:45:24Z",55.4348933,13.9266133,1425
-232,"2015-07-25T00:45:24Z",55.4348933,13.9266133,45
-232,"2015-07-25T01:45:24Z",55.4348933,13.9266133,105
-232,"2015-07-25T02:45:24Z",55.4348933,13.9266133,165
5,"2015-07-25T03:45:24Z",55.434505,13.9275183,225
36,"2015-07-25T04:45:24Z",55.4347383,13.9274466,285
-24,"2015-07-25T05:45:24Z",55.434475,13.92769,345
-24,"2015-07-25T05:45:24Z",55.434475,13.92769,345
-24,"2015-07-25T05:45:24Z",55.434475,13.92769,345
-29,"2015-07-25T05:58:02Z",55.434585,13.9275016,358
-29,"2015-07-25T05:58:02Z",55.434585,13.9275016,358
-29,"2015-07-25T05:58:02Z",55.434585,13.9275016,358
-29,"2015-07-25T05:58:02Z",55.434585,13.9275016,358
-29,"2015-07-25T05:58:02Z",55.434585,13.9275016,358
-29,"2015-07-25T05:58:02Z",55.434585,13.9275016,358
-29,"2015-07-25T05:58:02Z",55.434585,13.9275016,358
-27,"2015-07-25T06:04:10Z",55.433945,13.9291,364
-27,"2015-07-25T06:04:10Z",55.433945,13.9291,364
0,"2015-07-25T06:18:26Z",55.383606,14.063477,378
5,"2015-07-25T06:18:33Z",55.4112866,13.9962491,378
5,"2015-07-25T06:18:33Z",55.4112866,13.9962491,378
5,"2015-07-25T06:18:33Z",55.4112866,13.9962491,378
8,"2015-07-25T06:22:41Z",55.4020655,14.0185866,382
1,"2015-07-25T06:22:47Z",55.3974624,14.029752,382
1,"2015-07-25T06:22:47Z",55.3974624,14.029752,382
